EmployeeNumber,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,1,41,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,1,1,11,3,1,80,0,8,0,1,6,4,0,5
2,0,49,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,1,0,23,4,4,80,1,10,3,3,10,7,1,7
3,1,37,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,1,1,15,3,2,80,0,7,3,3,0,0,0,0
4,0,33,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,1,1,11,3,3,80,0,8,3,3,8,7,3,0
5,0,27,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,1,0,12,3,4,80,1,6,3,3,2,2,2,2
6,0,32,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,1,0,13,3,3,80,0,8,2,2,7,7,3,6
7,0,59,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,1,1,20,4,1,80,3,12,3,2,1,0,0,0
8,0,30,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,1,0,22,4,2,80,1,1,2,3,1,0,0,0
9,0,38,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,1,0,21,4,2,80,0,10,2,3,9,7,1,8
10,0,36,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,1,0,13,3,2,80,2,17,3,2,7,7,7,7
11,0,35,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,1,0,13,3,3,80,1,6,5,3,5,4,0,3
12,0,29,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,1,1,12,3,4,80,0,10,3,3,9,5,0,8
13,0,31,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,1,0,17,3,4,80,1,5,1,2,5,2,4,3
14,0,34,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,1,0,11,3,3,80,1,3,2,3,2,2,1,2
15,1,28,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,1,1,14,3,2,80,0,6,4,3,4,2,0,3
16,0,29,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,1,0,11,3,3,80,1,10,1,3,10,9,8,8
17,0,32,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,1,1,12,3,4,80,2,7,5,2,6,2,0,5
18,0,22,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,1,1,13,3,2,80,2,1,2,2,1,0,0,0
19,0,53,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,1,0,16,3,3,80,0,31,3,3,25,8,3,7
20,0,38,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,1,1,11,3,3,80,0,6,3,3,3,2,1,2
21,0,24,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,1,0,18,3,4,80,1,5,5,2,4,2,1,3
22,1,36,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,1,0,23,4,2,80,0,10,4,3,5,3,0,3
23,0,34,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,1,0,11,3,3,80,0,13,4,3,12,6,2,11
24,0,21,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,1,0,14,3,4,80,0,0,6,3,0,0,0,0
25,1,34,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,1,0,11,3,3,80,0,8,2,3,4,2,1,3
26,0,53,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,1,0,11,3,4,80,1,26,3,2,14,13,4,8
27,1,32,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,1,1,22,4,2,80,0,10,5,3,10,2,6,7
28,0,42,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,1,0,11,3,4,80,1,10,2,3,9,7,4,2
29,0,44,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,1,0,14,3,4,80,1,24,4,3,22,6,5,17
30,0,46,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,1,0,12,3,4,80,0,22,2,2,2,2,2,1
31,0,33,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,1,0,11,3,4,80,0,7,3,3,1,1,0,0
32,0,44,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,1,1,13,3,4,80,0,9,5,4,4,2,1,3
33,0,30,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,1,0,13,3,1,80,0,10,5,3,10,0,1,8
34,1,39,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,1,0,14,3,3,80,1,19,6,4,1,0,0,0
35,1,24,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,1,1,16,3,1,80,1,6,2,2,2,0,2,0
36,0,43,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,1,0,12,3,4,80,2,6,3,2,5,3,1,4
37,1,50,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,1,1,14,3,3,80,0,3,2,3,3,2,0,2
38,0,35,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,1,0,13,3,1,80,0,2,3,3,2,2,2,2
39,0,36,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,1,1,14,3,4,80,1,6,3,4,1,1,0,0
40,0,33,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,1,0,19,3,1,80,2,10,3,3,5,3,1,3
41,0,35,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,1,0,12,3,3,80,1,1,3,3,1,0,0,0
42,0,27,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,1,0,13,3,4,80,1,1,6,3,1,0,0,0
43,1,26,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,1,0,12,3,3,80,0,1,2,2,1,0,0,1
44,0,27,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,1,0,15,3,4,80,0,9,0,3,9,8,1,7
45,0,30,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,1,0,23,4,4,80,0,12,2,3,12,8,3,7
46,1,41,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,1,0,12,3,4,80,0,23,0,3,22,15,15,8
47,0,34,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,1,0,20,4,3,80,0,10,2,3,9,5,8,7
48,0,37,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,1,0,21,4,1,80,0,8,1,3,1,0,0,0
49,0,46,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,1,1,21,4,3,80,0,14,4,3,9,6,0,8
50,0,35,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,1,0,19,3,4,80,0,1,2,3,1,0,0,1
